# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,-0.000000,7.000000,7.000000
-0.034869,-0.197753,7.000000,7.000000
-0.069738,-0.395505,7.000000,7.000000
-0.104607,-0.593258,7.000000,7.000000
-0.139476,-0.791010,7.000000,7.000000
-0.174346,-0.988763,7.000000,7.000000
-0.209215,-1.186515,7.000000,7.000000
-0.244084,-1.384268,7.000000,7.000000
-0.278953,-1.582020,7.000000,7.000000
-0.313822,-1.779773,7.000000,7.000000
-0.348691,-1.977526,7.000000,7.000000
-0.383560,-2.175278,7.000000,7.000000
-0.418429,-2.373031,7.000000,7.000000
-0.453298,-2.570783,7.000000,7.000000
-0.488168,-2.768536,7.000000,7.000000
-0.523037,-2.966288,7.000000,7.000000
-0.557906,-3.164041,7.000000,7.000000
-0.592775,-3.361794,7.000000,7.000000
-0.627644,-3.559546,7.000000,7.000000
-0.662513,-3.757299,7.000000,7.000000
-0.697382,-3.955051,7.000000,7.000000
-0.732251,-4.152804,7.000000,7.000000
-0.767120,-4.350556,7.000000,7.000000
-0.801990,-4.548309,7.000000,7.000000
-0.836859,-4.746061,7.000000,7.000000
-0.871728,-4.943814,7.000000,7.000000
-0.906597,-5.141567,7.000000,7.000000
-0.941466,-5.339319,7.000000,7.000000
-0.976335,-5.537072,7.000000,7.000000
-1.011204,-5.734824,7.000000,7.000000
-1.046073,-5.932577,7.000000,7.000000
-1.080942,-6.130329,7.000000,7.000000
-1.115812,-6.328082,7.000000,7.000000
-1.150681,-6.525835,7.000000,7.000000
-1.185550,-6.723587,7.000000,7.000000
-1.220419,-6.921340,7.000000,7.000000
-1.255288,-7.119092,7.000000,7.000000
-1.290157,-7.316845,7.000000,7.000000
-1.325026,-7.514597,7.000000,7.000000
-1.359895,-7.712350,7.000000,7.000000
-1.394764,-7.910102,7.000000,7.000000
-1.429634,-8.107855,7.000000,7.000000
-1.464503,-8.305608,7.000000,7.000000
-1.499372,-8.503360,7.000000,7.000000
-1.534241,-8.701113,7.000000,7.000000
-1.569110,-8.898865,7.000000,7.000000
-1.603979,-9.096618,7.000000,7.000000
-1.638848,-9.294370,7.000000,7.000000
-1.673717,-9.492123,7.000000,7.000000
-1.708586,-9.689875,7.000000,7.000000
-1.743456,-9.887628,7.000000,7.000000
-1.778325,-10.085381,7.000000,7.000000
-1.813194,-10.283133,7.000000,7.000000
-1.848063,-10.480886,7.000000,7.000000
-1.882932,-10.678638,7.000000,7.000000
-1.917801,-10.876391,7.000000,7.000000
-1.952670,-11.074143,7.000000,7.000000
-1.987539,-11.271896,7.000000,7.000000
-2.022408,-11.469649,7.000000,7.000000
-2.057278,-11.667401,7.000000,7.000000
-2.092147,-11.865154,7.000000,7.000000
-2.127016,-12.062906,7.000000,7.000000
-2.161885,-12.260659,7.000000,7.000000
-2.196754,-12.458411,7.000000,7.000000
-2.231623,-12.656164,7.000000,7.000000
-2.266492,-12.853916,7.000000,7.000000
-2.301361,-13.051669,7.000000,7.000000
-2.336231,-13.249422,7.000000,7.000000
-2.371100,-13.447174,7.000000,7.000000
-2.405969,-13.644927,7.000000,7.000000
-2.440838,-13.842679,7.000000,7.000000
-2.475707,-14.040432,7.000000,7.000000
-2.510576,-14.238184,7.000000,7.000000
-2.545445,-14.435937,7.000000,7.000000
-2.580314,-14.633690,7.000000,7.000000
-2.615183,-14.831442,7.000000,7.000000
-2.650053,-15.029195,7.000000,7.000000
-2.684922,-15.226947,7.000000,7.000000
-2.719791,-15.424700,7.000000,7.000000
-2.754660,-15.622452,7.000000,7.000000
-2.789529,-15.820205,7.000000,7.000000
-2.824398,-16.017957,7.000000,7.000000
-2.859267,-16.215710,7.000000,7.000000
-2.894136,-16.413463,7.000000,7.000000
-2.929005,-16.611215,7.000000,7.000000
-2.963875,-16.808968,7.000000,7.000000
-2.998744,-17.006720,7.000000,7.000000
-3.033613,-17.204473,7.000000,7.000000
-3.068482,-17.402225,7.000000,7.000000
-3.103351,-17.599978,7.000000,7.000000
-3.138220,-17.797730,7.000000,7.000000
-3.173089,-17.995483,7.000000,7.000000
-3.207958,-18.193236,7.000000,7.000000
-3.242827,-18.390988,7.000000,7.000000
-3.277697,-18.588741,7.000000,7.000000
-3.312566,-18.786493,7.000000,7.000000
-3.347435,-18.984246,7.000000,7.000000
-3.382304,-19.181998,7.000000,7.000000
-3.417173,-19.379751,7.000000,7.000000
-3.452042,-19.577504,7.000000,7.000000
-3.486911,-19.775256,7.000000,7.000000
-3.521780,-19.973009,7.000000,7.000000
-3.556649,-20.170761,7.000000,7.000000
-3.591519,-20.368514,7.000000,7.000000
-3.626388,-20.566266,7.000000,7.000000
-3.661257,-20.764019,7.000000,7.000000
-3.696126,-20.961771,7.000000,7.000000
-3.730995,-21.159524,7.000000,7.000000
-3.765864,-21.357277,7.000000,7.000000
-3.800733,-21.555029,7.000000,7.000000
-3.835602,-21.752782,7.000000,7.000000
-3.870471,-21.950534,7.000000,7.000000
-3.905341,-22.148287,7.000000,7.000000
-3.940210,-22.346039,7.000000,7.000000
-3.975079,-22.543792,7.000000,7.000000
-4.009948,-22.741544,7.000000,7.000000
-4.044817,-22.939297,7.000000,7.000000
-4.079686,-23.137050,7.000000,7.000000
-4.114555,-23.334802,7.000000,7.000000
-4.149424,-23.532555,7.000000,7.000000
-4.184293,-23.730307,7.000000,7.000000
-4.219163,-23.928060,7.000000,7.000000
-4.254032,-24.125812,7.000000,7.000000
-4.288901,-24.323565,7.000000,7.000000
-4.323770,-24.521318,7.000000,7.000000
-4.358639,-24.719070,7.000000,7.000000
