# x_m,y_m,w_tr_right_m,w_tr_left_m
728.1229,89.4754,5.5620,6.3580
730.6783,93.7695,5.8270,6.2120
733.4728,97.8513,6.0520,6.0960
736.5357,101.6785,6.2450,6.0040
739.8958,105.2090,5.9810,6.1200
743.5790,108.4040,5.5560,6.3090
747.5675,111.2705,5.7050,6.2620
751.8125,113.8481,5.9860,6.1610
756.2646,116.1772,6.0150,6.1480
760.8742,118.2981,6.0380,6.1380
765.5920,120.2512,6.1130,6.1650
770.3684,122.0767,6.1900,6.1940
775.1541,123.8150,6.2290,6.1890
779.8995,125.5066,6.1660,6.0940
784.5599,127.2172,6.1040,5.9990
789.1000,129.0631,6.0560,5.9150
793.4854,131.1669,6.0180,5.8370
797.6821,133.6512,6.0650,5.7570
801.6695,136.6072,6.0320,5.8020
805.5163,139.9193,5.8810,6.0120
809.3220,143.3932,5.9020,5.9510
813.0120,146.9754,5.9320,5.8620
816.3118,150.7763,5.9540,5.7740
819.0891,154.8467,6.1280,5.7130
821.3902,159.1567,6.0030,5.7750
823.2719,163.6720,5.8410,5.8260
824.7908,168.3581,5.8640,5.7050
826.0037,173.1805,5.9540,5.6550
826.9672,178.1048,6.0290,5.6850
827.7381,183.0966,5.9690,5.8610
828.3731,188.1214,5.9430,6.0150
828.9263,193.1498,6.0260,6.0980
829.4430,198.1697,6.1090,6.1810
829.9668,203.1725,6.1570,6.2600
830.5411,208.1498,6.1420,6.3330
831.2093,213.0933,6.1280,6.4060
832.0148,217.9944,6.1140,6.3590
833.0013,222.8448,6.1000,6.1510
834.2120,227.6360,6.0740,5.9680
835.6902,232.3596,5.8840,6.1130
837.4599,237.0057,5.7490,6.2320
839.5072,241.5622,5.8440,6.2450
841.8140,246.0165,5.9400,6.2030
844.3623,250.3560,6.0380,6.0600
847.1339,254.5681,6.0980,6.0170
850.1107,258.6403,6.1030,6.1100
853.2747,262.5601,6.1090,6.1950
856.6078,266.3148,6.1210,6.2370
860.0929,269.8941,6.1330,6.2790
863.7197,273.3002,6.0270,6.4220
