# x_m,y_m,w_tr_right_m,w_tr_left_m
506.9734,-538.9927,3.8590,4.3200
510.3725,-542.6950,3.8590,4.3820
513.6871,-546.4474,3.8330,4.4070
516.8522,-550.3020,3.7990,4.4180
519.8020,-554.3123,3.7640,4.4290
522.5071,-558.4922,3.7290,4.4400
524.9655,-562.8264,3.7450,4.4270
527.1755,-567.2987,3.7810,4.4040
529.1355,-571.8931,3.8170,4.3810
530.8439,-576.5935,3.8820,4.3400
532.2992,-581.3839,3.9630,4.2880
533.4997,-586.2481,4.0450,4.2360
534.4440,-591.1702,4.0570,4.2190
535.1304,-596.1340,4.0190,4.2280
535.5573,-601.1234,3.9820,4.2360
535.7231,-606.1225,3.9300,4.2780
535.6264,-611.1151,3.8700,4.3380
535.2716,-616.0887,3.8100,4.3980
534.6757,-621.0381,3.8500,4.3830
533.8570,-625.9587,3.9470,4.3270
532.8340,-630.8463,4.0150,4.2820
531.6250,-635.6962,3.9860,4.2750
530.2484,-640.5040,3.9580,4.2670
528.7234,-645.2667,3.9300,4.2590
527.0736,-649.9886,3.9130,4.2480
525.3245,-654.6777,3.9190,4.2290
523.5016,-659.3417,3.9260,4.2100
521.6304,-663.9884,3.9320,4.1920
519.7364,-668.6255,3.9380,4.1730
517.8425,-673.2601,3.9450,4.1550
515.9544,-677.8942,3.9510,4.1360
514.0710,-682.5279,3.9570,4.1180
512.1913,-687.1612,3.9630,4.0990
510.3145,-691.7944,3.9680,4.0830
508.4393,-696.4273,3.9610,4.0800
506.5650,-701.0603,3.9540,4.0770
504.6904,-705.6932,3.9470,4.0750
502.8146,-710.3264,3.9390,4.0720
500.9365,-714.9597,3.9320,4.0690
499.0552,-719.5934,3.9250,4.0660
497.1696,-724.2275,3.9180,4.0640
495.2790,-728.8620,3.9110,4.0610
493.3828,-733.4965,3.9040,4.0580
491.4810,-738.1303,3.8970,4.0550
489.5734,-742.7627,3.8900,4.0520
487.6599,-747.3932,3.8830,4.0500
485.7403,-752.0209,3.8760,4.0470
483.8146,-756.6454,3.8690,4.0440
481.8825,-761.2659,3.9330,4.0980
479.9440,-765.8817,4.0390,4.1840
