# x_m,y_m,w_tr_right_m,w_tr_left_m
178.4327,-59.0725,3.9290,4.1050
182.9966,-61.0725,3.9100,4.2620
187.4931,-63.2491,3.8970,4.4280
191.9122,-65.6175,3.8840,4.5930
196.2335,-68.1930,4.0580,4.6610
200.4114,-70.9910,4.7280,4.4680
204.3966,-74.0268,5.1140,4.7030
208.1429,-77.3142,5.2720,5.2830
211.6508,-80.8368,5.5920,5.7060
214.9592,-84.5546,5.5780,5.9240
218.1082,-88.4266,6.0720,6.4620
221.1377,-92.4120,6.1470,6.4630
224.0876,-96.4698,6.2170,6.4590
226.9980,-100.5592,6.2870,6.4550
229.9082,-104.6398,6.3570,6.4510
232.8344,-108.6951,6.4260,6.4480
235.7611,-112.7408,6.4960,6.4440
238.6707,-116.7947,6.5370,6.4500
241.5457,-120.8746,6.4790,6.4880
244.3683,-124.9985,6.4200,6.5260
247.1211,-129.1842,6.3620,6.5650
249.7863,-133.4496,6.2720,6.6530
252.3219,-137.8082,6.1340,6.8200
254.6303,-142.2634,5.9960,6.9860
256.6062,-146.8174,5.8580,7.1530
258.1443,-151.4721,5.8840,7.1050
259.1393,-156.2296,6.0070,6.9310
259.4859,-161.0921,6.1290,6.7580
259.0807,-166.0594,6.2730,6.4520
257.8945,-171.0443,6.4230,6.1130
255.9950,-175.8464,6.3000,6.2590
253.4561,-180.2579,6.1380,6.5140
250.3575,-184.1050,5.9350,6.8890
246.8195,-187.4634,6.1140,7.0540
242.9803,-190.5186,6.4230,7.1490
238.9782,-193.4562,6.7320,7.2440
234.9201,-196.4063,7.0410,7.3380
230.8454,-199.3794,7.3500,7.4330
226.7849,-202.3704,7.6580,7.5270
222.7676,-205.3747,7.4250,7.3520
218.7980,-208.3959,7.1930,7.1760
214.8625,-211.4434,6.9600,7.0010
210.9473,-214.5268,6.7270,6.8260
207.0377,-217.6476,6.4940,6.6500
203.1167,-220.7761,6.2610,6.4750
199.1668,-223.8758,6.0290,6.3000
195.1704,-226.9097,5.7960,6.1240
191.1101,-229.8411,5.5630,5.9490
186.9683,-232.6331,5.5690,6.0990
182.7275,-235.2490,5.6560,6.3590
