# x_m,y_m,w_tr_right_m,w_tr_left_m
199.7098,-147.7471,8.5090,8.4030
203.6848,-150.7825,8.5270,8.4230
207.6598,-153.8179,8.5460,8.4440
211.6348,-156.8533,8.5650,8.4650
215.6098,-159.8888,8.5840,8.4860
219.5848,-162.9242,8.6030,8.5070
223.5598,-165.9597,8.6220,8.5280
227.5348,-168.9952,8.6410,8.5480
231.5097,-172.0306,8.6600,8.5690
235.4847,-175.0661,8.6780,8.5900
239.4596,-178.1016,8.6970,8.6110
243.4345,-181.1371,8.7160,8.6320
247.4095,-184.1726,8.7350,8.6520
251.3844,-187.2081,8.7540,8.6730
255.3593,-190.2437,8.7730,8.6940
259.3343,-193.2792,8.7920,8.7150
263.3092,-196.3147,8.8110,8.7360
267.2841,-199.3502,8.8290,8.7570
271.2590,-202.3857,8.8480,8.7770
275.2340,-205.4212,8.8670,8.7980
279.2089,-208.4567,8.8860,8.8190
283.1838,-211.4922,8.9050,8.8400
287.1588,-214.5276,8.9240,8.8610
291.1337,-217.5631,8.9430,8.8820
295.1087,-220.5986,8.9620,8.9020
299.0836,-223.6340,8.9800,8.9230
303.0586,-226.6694,8.9990,8.9440
307.0336,-229.7048,9.0180,8.9650
311.0085,-232.7402,9.0370,8.9860
314.9835,-235.7756,9.0560,9.0070
318.9585,-238.8110,9.0750,9.0270
322.9336,-241.8463,9.0940,9.0480
326.9086,-244.8816,9.1120,9.0690
330.8836,-247.9169,9.1310,9.0900
334.8587,-250.9522,9.1500,9.1110
338.8338,-253.9874,9.1690,9.1320
342.8089,-257.0226,9.1880,9.1520
346.7840,-260.0578,9.2070,9.1730
350.7591,-263.0929,9.2260,9.1940
354.7343,-266.1281,9.2450,9.2150
358.7094,-269.1631,9.2630,9.2360
362.6846,-272.1982,9.2820,9.2570
366.6598,-275.2332,9.3010,9.2770
370.6351,-278.2682,9.3200,9.2980
374.6103,-281.3031,9.3390,9.3190
378.5856,-284.3381,9.3580,9.3400
382.5609,-287.3729,9.3770,9.3610
386.5363,-290.4077,9.3960,9.3820
390.5116,-293.4425,9.4140,9.4020
394.4870,-296.4773,9.4330,9.4230
