# x_m,y_m,w_tr_right_m,w_tr_left_m
-297.1013,318.3802,7.9930,8.9100
-300.1582,322.3197,8.0830,8.8850
-303.1990,326.2783,8.1740,8.8600
-306.2269,330.2525,8.2640,8.8350
-309.2449,334.2388,8.3540,8.8100
-312.2562,338.2334,8.4440,8.7850
-315.2637,342.2329,8.5340,8.7600
-318.2705,346.2337,8.6240,8.7350
-321.2795,350.2326,8.7140,8.7100
-324.2917,354.2279,8.8050,8.6840
-327.3081,358.2186,8.8950,8.6590
-330.3294,362.2034,8.9850,8.6340
-333.3564,366.1811,9.0750,8.6090
-336.3899,370.1506,9.1650,8.5840
-339.4308,374.1107,9.2550,8.5590
-342.4795,378.0609,9.3460,8.5340
-345.5327,382.0050,9.4360,8.5090
-348.5855,385.9494,9.5260,8.4840
-351.6330,389.9004,9.6160,8.4590
-354.6704,393.8641,9.7060,8.4340
-357.6926,397.8468,9.7960,8.4090
-360.6948,401.8549,9.8860,8.3840
-363.6727,405.8935,9.9770,8.3590
-366.6354,409.9513,10.0670,8.3330
-369.6026,414.0029,10.1570,8.3080
-372.5943,418.0226,10.2470,8.2830
-375.6305,421.9847,10.3370,8.2580
-378.7315,425.8635,10.4270,8.2330
-381.9171,429.6333,10.5180,8.2080
-385.2126,433.2577,10.6080,8.1830
-388.8780,436.1980,10.6870,8.4610
-393.4771,437.2257,10.7440,9.3790
-398.5091,435.8517,10.8240,10.1460
-402.2688,432.6138,11.0010,9.9690
-404.2722,428.2144,10.7320,10.2380
-404.6832,423.3464,10.6850,10.2850
-404.2494,418.3487,10.7320,10.2380
-403.6607,413.3547,10.7790,10.1910
-402.9933,408.3788,10.7560,10.2140
-402.2481,403.4212,10.6790,10.2910
-401.4260,398.4820,10.6010,10.3690
-400.5282,393.5613,10.5240,10.4460
-399.5555,388.6592,10.4860,10.4840
-398.5089,383.7758,10.5240,10.4460
-397.3906,378.9108,10.5620,10.4080
-396.2065,374.0627,10.6000,10.3700
-394.9635,369.2297,10.6380,10.3320
-393.6684,364.4097,10.6770,10.2930
-392.3283,359.6011,10.6810,10.2890
-390.9500,354.8019,10.6630,10.3070
