# x_m,y_m,w_tr_right_m,w_tr_left_m
481.1524,-165.0108,6.6390,6.7100
483.8582,-169.2143,6.6360,6.7100
486.5563,-173.4222,6.6340,6.7110
489.2450,-177.6355,6.6310,6.7120
491.9223,-181.8555,6.6280,6.7130
494.5761,-186.0891,6.5610,6.6850
497.1769,-190.3545,6.4200,6.6260
499.6934,-194.6704,6.2800,6.5680
502.0941,-199.0559,6.2840,6.7590
504.3411,-203.5462,6.4400,7.2130
506.1651,-208.2530,6.5970,7.6670
505.5469,-212.9247,6.4670,7.6220
501.7843,-215.9896,6.2770,7.5080
497.1860,-216.0808,6.1780,7.5050
492.6742,-214.0534,6.6990,7.4690
488.3216,-211.3277,7.2200,7.4330
484.1103,-208.5751,7.7100,7.6330
479.9494,-205.8465,8.1700,8.0740
475.7844,-203.1610,8.6300,8.5150
471.5929,-200.5270,8.9730,8.8430
467.3531,-197.9523,8.7370,8.6160
463.0437,-195.4449,8.5010,8.3890
458.6588,-193.0004,8.2650,8.1620
454.2311,-190.5843,8.0290,7.9350
449.7989,-188.1578,7.7930,7.7080
445.4004,-185.6820,7.5570,7.4820
441.0739,-183.1181,7.3210,7.2550
436.8577,-180.4273,6.9480,7.1360
432.7900,-177.5707,6.4360,7.1270
428.9091,-174.5096,6.4310,7.0470
425.2480,-171.2106,6.4720,6.9600
421.7973,-167.6853,6.4270,6.8550
418.5275,-163.9669,6.3660,6.7460
415.4087,-160.0886,6.3450,6.7080
412.4111,-156.0837,6.3340,6.6900
409.5050,-151.9856,6.3240,6.6710
406.6605,-147.8275,6.3140,6.6520
403.8480,-143.6426,6.3040,6.6330
401.0378,-139.4639,6.2940,6.6150
398.2132,-135.3097,6.2840,6.5960
395.3751,-131.1778,6.2740,6.5770
392.5255,-127.0645,6.2630,6.5580
389.6666,-122.9662,6.2530,6.5400
386.8006,-118.8791,6.2430,6.5210
383.9294,-114.7998,6.2330,6.5020
381.0554,-110.7244,6.2230,6.4830
378.1805,-106.6494,6.2130,6.4640
375.3066,-102.5717,6.2020,6.4460
372.4339,-98.4909,6.1920,6.4270
369.5625,-94.4070,6.1820,6.4080
