# x_m,y_m,w_tr_right_m,w_tr_left_m
781.9848,301.5933,6.5610,6.3500
777.0399,302.3552,6.5860,6.3310
772.0964,303.1291,6.6230,6.3050
767.1545,303.9172,6.6600,6.2780
762.2143,304.7219,6.6980,6.2520
757.2762,305.5455,6.7350,6.2250
752.3404,306.3903,6.7720,6.1990
747.4068,307.2543,6.8090,6.1730
742.4716,308.0951,6.8470,6.1460
737.5293,308.8496,6.8840,6.1200
732.5742,309.4542,6.9210,6.0930
727.6008,309.8456,6.9580,6.0670
722.6035,309.9603,6.8240,5.9910
717.5766,309.7350,6.6090,5.8910
712.5358,309.0880,6.3940,5.7920
707.8861,307.6064,6.5740,5.8940
704.3485,304.6301,6.7310,5.8990
702.1886,300.2809,6.6160,6.1000
701.1804,295.2966,6.3580,6.4750
700.6989,290.1434,6.4250,6.4570
700.1676,285.1238,6.4910,6.4390
699.6758,280.1810,6.5580,6.4200
699.3793,275.2240,6.6250,6.4020
699.2733,270.2510,6.6910,6.3790
699.3411,265.2669,6.7580,6.3570
699.5660,260.2766,6.8170,6.3350
699.9314,255.2849,6.7990,6.3180
700.4206,250.2967,6.7810,6.3000
701.0168,245.3169,6.7640,6.2820
701.7138,240.3518,6.7460,6.2650
702.5300,235.4106,6.7310,6.2450
703.4870,230.5033,6.7850,6.1830
704.6067,225.6398,6.8390,6.1210
705.9109,220.8299,6.8930,6.0590
707.4215,216.0835,6.9470,5.9970
709.1602,211.4105,6.9840,5.9710
711.1441,206.8225,6.9710,6.0470
713.3703,202.3385,6.9580,6.1230
715.8307,197.9796,6.9460,6.1990
718.5167,193.7658,6.9330,6.2750
721.3957,189.6883,6.7960,6.3690
724.4034,185.6988,6.6150,6.4690
727.4732,181.7466,6.4340,6.5680
730.5218,177.7746,6.2540,6.6680
733.3394,173.6796,6.1100,6.7550
735.6853,169.3468,6.1130,6.7900
737.5222,164.7348,6.1160,6.8260
738.8777,159.8711,6.1950,6.8470
739.7186,154.8649,6.4200,6.8410
740.0031,149.8366,6.6340,6.8270
