# x_m,y_m,w_tr_right_m,w_tr_left_m
-770.9889,74.5163,3.6560,4.1870
-771.6388,79.4740,3.6900,4.2500
-772.1689,84.4473,3.7240,4.3120
-772.5270,89.4286,3.7950,4.2850
-772.6564,94.4096,3.8890,4.2030
-772.5009,99.3817,3.9770,4.1270
-772.0051,104.3366,3.9900,4.1250
-771.1642,109.2658,4.0030,4.1220
-770.0404,114.1614,3.9850,4.1610
-768.7010,119.0154,3.9390,4.2380
-767.2130,123.8198,3.8930,4.3160
-765.6326,128.5692,3.8470,4.3940
-763.9711,133.2699,3.8930,4.4340
-762.2281,137.9308,4.0360,4.4330
-760.4033,142.5610,4.1780,4.4330
-758.4964,147.1694,4.3210,4.4330
-756.5169,151.7646,4.4640,4.4330
-754.4969,156.3536,4.5470,4.4660
-752.4715,160.9433,4.6190,4.5040
-750.4758,165.5405,4.6920,4.5430
-748.5384,170.1506,4.7640,4.5810
-746.6372,174.7670,4.8370,4.6200
-744.7276,179.3772,4.9090,4.6580
-742.7646,183.9693,4.9810,4.6970
-740.7050,188.5316,5.0540,4.7350
-738.5805,193.0755,5.1260,4.7740
-736.5206,197.6432,5.1990,4.8120
-734.6615,202.2786,5.2710,4.8510
-733.1392,207.0259,5.4160,4.9250
-732.1109,211.9085,5.7630,5.1010
-731.8170,216.8674,5.8850,5.3820
-732.5087,221.8122,5.8880,5.7180
-734.2872,226.4975,6.1820,5.9230
-737.1391,230.5603,6.5080,6.0870
-740.9676,233.6839,6.8200,6.2460
-745.5019,235.6589,7.0420,6.4540
-750.4408,236.3272,7.0320,6.6430
-755.4295,235.7840,7.0530,6.7380
-760.1267,234.2269,7.0170,6.7850
-764.4333,231.8290,6.8400,6.8420
-768.3510,228.7531,6.9380,6.7030
-771.8816,225.1622,7.1270,6.5980
-775.0273,221.2190,7.3880,6.6070
-777.8075,217.0648,7.1310,6.4810
-780.3047,212.7629,6.8730,6.3550
-782.6161,208.3587,6.6150,6.2280
-784.8385,203.8979,6.3580,6.1020
-787.0652,199.4246,6.1000,5.9760
-789.3400,194.9635,5.8420,5.8500
-791.6723,190.5264,5.5850,5.7230
