# x_m,y_m,w_tr_right_m,w_tr_left_m
-565.0205,49.2462,5.9350,6.2350
-560.1136,50.3222,6.1660,6.0700
-555.1059,50.8688,6.1320,6.1000
-550.0837,50.9163,5.9270,6.2580
-545.1255,50.4954,5.9520,6.2700
-540.2558,49.6364,5.9380,6.3030
-535.4767,48.3698,5.7960,6.4100
-530.7900,46.7262,5.6870,6.4760
-526.1992,44.7349,5.9770,6.0880
-521.7552,42.3871,6.2020,5.8850
-517.5661,39.6278,6.3490,5.9030
-513.7434,36.3991,6.0860,6.2230
-510.3992,32.6460,5.9510,6.3970
-507.6575,28.4041,5.9930,6.3680
-505.6573,23.8169,5.9940,6.2970
-504.5382,19.0343,5.9140,6.4160
-504.4400,14.2064,6.1780,6.2210
-505.4132,9.4518,6.1210,6.1730
-507.1917,4.7790,5.9750,6.4040
-509.4393,0.1716,6.0670,6.1650
-511.8197,-4.3867,6.1580,5.9250
-514.0411,-8.9204,6.0610,5.8360
-515.9695,-13.4825,5.7740,5.9920
-517.5053,-18.1326,5.7440,6.2070
-518.5488,-22.9298,6.2910,5.9370
-518.9993,-27.9202,6.4530,5.8060
-518.7428,-32.9787,6.4260,5.8870
-517.6561,-37.8645,6.2260,6.2280
-515.6155,-42.3345,6.3900,6.1580
-512.5198,-46.1548,6.5380,6.0470
-508.5387,-49.2048,6.5950,5.9860
-504.0243,-51.4420,6.3080,6.2870
-499.2742,-52.9985,6.2010,6.2600
-494.4755,-54.3314,6.1450,6.1400
-489.7018,-55.6260,6.4630,6.1780
-484.8346,-56.4850,6.3490,5.7490
-479.7927,-56.4917,5.7780,6.5230
-474.8531,-55.5024,6.0240,6.1320
-470.3754,-53.5039,6.7020,5.7350
-466.4077,-50.6472,6.4580,6.2540
-462.8821,-47.1446,6.4930,6.2650
-459.7304,-43.2084,6.5100,6.2730
-456.8855,-39.0470,6.4610,6.2660
-454.3059,-34.7699,6.4130,6.2530
-451.9773,-30.3810,6.3750,6.1680
-449.8866,-25.8789,6.3410,6.0820
-448.0213,-21.2625,6.3230,5.9930
-446.3800,-16.5399,6.2600,5.9980
-444.9734,-11.7284,6.1270,6.1470
-443.8125,-6.8460,6.1210,6.1710
