# x_m,y_m,w_tr_right_m,w_tr_left_m
292.6159,1000.4513,4.0400,4.1120
295.9477,996.7146,4.0220,4.1220
299.2608,992.9593,4.0040,4.1330
302.5602,989.1911,3.9870,4.1430
305.8510,985.4154,3.9690,4.1530
309.1383,981.6377,3.9510,4.1630
312.4271,977.8637,3.9330,4.1730
315.7225,974.0986,3.9150,4.1840
319.0270,970.3453,3.8970,4.1940
322.3401,966.6027,3.8800,4.2040
325.6609,962.8693,3.8620,4.2140
328.9885,959.1437,3.8440,4.2240
332.3221,955.4247,3.8260,4.2350
335.6607,951.7108,3.8080,4.2450
339.0036,948.0007,3.7900,4.2550
342.3499,944.2930,3.7730,4.2650
345.6987,940.5862,3.7550,4.2750
349.0492,936.8791,3.7370,4.2860
352.4004,933.1703,3.7190,4.2960
355.7516,929.4583,3.7010,4.3060
359.1019,925.7419,3.6830,4.3160
362.4500,922.0194,3.6660,4.3260
365.7837,918.2793,3.6480,4.3370
369.0754,914.4969,3.6300,4.3470
372.2961,910.6465,3.6120,4.3570
375.3868,906.6962,3.5940,4.3670
378.0510,902.5663,3.3390,4.5140
379.8813,898.1550,3.7540,4.1100
380.4918,893.3744,4.3560,3.9020
379.8385,888.3621,4.0650,3.8490
378.1474,883.4327,4.1230,3.9630
375.6518,878.9056,3.9330,4.1090
372.5859,874.9907,3.7870,4.1570
369.1886,871.4521,3.6730,4.1060
365.6996,867.9406,3.9590,3.8940
362.4116,864.1311,4.0640,3.8800
360.0052,859.8789,4.4640,3.6840
359.1832,855.1571,4.4390,3.9080
359.5647,850.2133,3.9410,4.0690
360.4887,845.3014,3.7130,4.0350
361.7134,840.4304,3.6090,4.0690
363.0514,835.5774,3.6350,4.0510
364.3502,830.7239,3.6600,4.0330
365.5912,825.8671,3.6860,4.0140
366.7878,821.0080,3.7120,3.9960
367.9535,816.1479,3.7380,3.9780
369.1016,811.2877,3.7640,3.9590
370.2457,806.4285,3.7890,3.9410
371.3991,801.5715,3.8150,3.9230
372.5703,796.7171,3.8410,3.9040
