# x_m,y_m,w_tr_right_m,w_tr_left_m
-405.8312,-630.0577,6.0470,6.2400
-408.3665,-634.3648,6.1940,6.5790
-410.8820,-638.6841,6.3110,6.8640
-413.4197,-642.9897,6.2310,6.7940
-416.0226,-647.2555,6.1510,6.7240
-418.7188,-651.4644,6.0710,6.6540
-421.4805,-655.6343,5.9910,6.5840
-424.2661,-659.7917,5.9110,6.5140
-427.0354,-663.9621,5.8310,6.4440
-429.7900,-668.1398,5.7510,6.3740
-432.5855,-672.2793,5.6710,6.3050
-435.4805,-676.3327,5.5910,6.2350
-438.5339,-680.2518,5.6540,6.0680
-441.8044,-683.9886,5.7270,5.8940
-445.3509,-687.4952,5.7800,5.8080
-449.2319,-690.7230,5.8290,5.7420
-453.4581,-693.5463,5.5350,5.9270
-457.9365,-695.6721,5.1430,6.1840
-462.6071,-696.8865,5.3350,5.9300
-467.5032,-697.2113,5.6350,5.5840
-472.5598,-696.9371,5.5550,5.5980
-477.6293,-696.4927,5.3980,5.6030
-482.5507,-695.7437,4.8380,5.5610
-487.1968,-694.2681,4.3900,5.5070
-491.6004,-692.1351,4.9560,5.3420
-495.8325,-689.5338,5.5210,5.1780
-499.9642,-686.6530,5.5610,5.2250
-504.0623,-683.6693,5.4170,5.3470
-508.1780,-680.7121,5.2730,5.4690
-512.3589,-677.9001,5.1280,5.5910
-516.6520,-675.3503,5.2950,5.3830
-521.0794,-673.1257,5.4630,5.1720
-525.6334,-671.2235,5.6140,4.9720
-530.3044,-669.6367,5.7310,4.8070
-535.0828,-668.3583,5.5530,4.9490
-539.9590,-667.3815,5.3750,5.0910
-544.9234,-666.6993,5.2580,5.2170
-549.9663,-666.3051,5.1420,5.3430
-555.0526,-666.2275,5.1950,5.2640
-560.0953,-666.5695,5.2710,5.1580
-565.0006,-667.4428,5.4250,4.9740
-569.6814,-668.9476,5.6270,4.7420
-574.1356,-671.0285,5.6270,4.7480
-578.4222,-673.5188,5.4160,5.0010
-582.6014,-676.2492,5.2740,5.1750
-586.7244,-679.0788,5.2660,5.1980
-590.8090,-681.9677,5.2580,5.2200
-594.8657,-684.8992,5.2500,5.2430
-598.9048,-687.8567,5.2420,5.2650
-602.9366,-690.8236,5.2340,5.2870
