# x_m,y_m,w_tr_right_m,w_tr_left_m
-254.8218,1267.6488,5.7600,5.6300
-250.1812,1269.5106,5.7690,5.6210
-245.5462,1271.3908,5.7780,5.6120
-240.9187,1273.2922,5.7880,5.6020
-236.3002,1275.2174,5.8110,5.5790
-231.6925,1277.1692,5.8330,5.5570
-227.0974,1279.1503,5.8560,5.5340
-222.5165,1281.1635,5.8790,5.5110
-217.9515,1283.2113,5.9020,5.4880
-213.4042,1285.2965,5.8460,5.5440
-208.8764,1287.4219,5.7680,5.6220
-204.3696,1289.5902,5.6900,5.7000
-199.8856,1291.8040,5.6790,5.7110
-195.4262,1294.0660,5.7090,5.6810
-190.9930,1296.3790,5.7400,5.6500
-186.5878,1298.7458,5.7700,5.6200
-182.2123,1301.1688,5.7820,5.6080
-177.8690,1303.6506,5.7640,5.6260
-173.5606,1306.1931,5.7460,5.6440
-169.2897,1308.7984,5.7290,5.6610
-165.0590,1311.4687,5.7480,5.6420
-160.8714,1314.2061,5.8120,5.5780
-156.7294,1317.0127,5.8760,5.5140
-152.6358,1319.8906,5.9410,5.4490
-148.5924,1322.8405,6.0050,5.3850
-144.5583,1325.8001,6.0700,5.3200
-140.4324,1328.6172,5.9590,5.4310
-136.1089,1331.1331,5.3350,6.0550
-131.4875,1333.1808,5.1450,6.2450
-126.7223,1334.2101,5.5240,5.8660
-122.3150,1333.1597,5.5530,5.8700
-118.4514,1329.9982,6.4380,6.6580
-114.8513,1326.1415,6.9060,6.7860
-111.3038,1322.4718,7.3740,6.9150
-107.7365,1319.0168,7.5820,7.1380
-104.0865,1315.7442,7.2170,7.5030
-100.2909,1312.6219,7.3950,7.3250
-96.3044,1309.6261,7.5730,7.1470
-92.1540,1306.7665,7.7510,6.9690
-87.8852,1304.0618,7.6470,6.8930
-83.5434,1301.5304,7.5400,6.8190
-79.1681,1299.1725,7.4330,6.7440
-74.7742,1296.9139,7.3260,6.6700
-70.3704,1294.6616,7.2180,6.5950
-65.9656,1292.3224,7.1110,6.5210
-61.5623,1289.8439,7.0040,6.4460
-57.1380,1287.3372,6.8970,6.3720
-52.6636,1284.9544,6.7900,6.2970
-48.1102,1282.8477,6.6840,6.2260
-43.4561,1281.1352,6.6270,6.2830
