# x_m,y_m,w_tr_right_m,w_tr_left_m
287.8090,-180.1692,4.6530,4.9150
287.3671,-185.1435,4.6570,4.9090
286.9269,-190.1173,4.6620,4.9050
286.4848,-195.0916,4.6670,4.9010
286.0374,-200.0671,4.6720,4.8970
285.5810,-205.0449,4.6780,4.8930
285.1121,-210.0258,4.6830,4.8890
284.6273,-215.0106,4.6880,4.8850
284.1230,-220.0003,4.6930,4.8810
283.5956,-224.9957,4.6980,4.8780
283.0416,-229.9977,4.7030,4.8740
282.4549,-235.0061,4.6310,4.8770
281.7390,-239.9811,4.5480,4.8810
280.6871,-244.8349,4.4560,4.9200
279.0864,-249.4768,4.3090,5.1790
276.8067,-253.8188,4.1610,5.4380
273.8879,-257.7793,4.3820,5.5660
270.3921,-261.2793,4.9360,5.5760
266.4131,-264.3109,5.4400,5.5780
262.0826,-266.9485,5.3360,5.4760
257.5338,-269.2703,5.2320,5.3750
252.8687,-271.2287,4.9890,5.4230
248.1270,-272.5299,4.5900,5.6380
243.3429,-272.8578,4.3930,5.7240
238.5966,-272.0933,4.4630,5.6370
234.0207,-270.3423,4.5340,5.5510
229.7504,-267.7232,4.5790,5.4360
225.9136,-264.3726,4.6230,5.3200
222.6244,-260.4618,4.6400,5.2600
219.9951,-256.1655,4.6060,5.3040
218.0892,-251.6310,4.5730,5.3480
216.8106,-246.9159,4.5870,5.2930
216.0310,-242.0597,4.6120,5.2120
215.6224,-237.1021,4.6380,5.1300
215.4565,-232.0824,4.6630,5.0540
215.4051,-227.0402,4.6870,4.9790
215.3674,-222.0063,4.7120,4.9030
215.3283,-216.9842,4.7370,4.8270
215.2896,-211.9720,4.7930,4.8430
215.2528,-206.9680,4.8630,4.8980
215.2198,-201.9702,4.9330,4.9530
215.1922,-196.9769,5.0020,5.0090
215.1716,-191.9862,5.0720,5.0640
215.1598,-186.9963,5.1420,5.1190
215.1584,-182.0053,5.2120,5.1740
215.1691,-177.0115,5.2820,5.2290
215.1936,-172.0129,5.3520,5.2840
215.2336,-167.0078,5.3940,5.2980
215.2843,-161.9956,5.3330,5.1580
215.3214,-156.9795,5.2730,5.0180
