# x_m,y_m,w_tr_right_m,w_tr_left_m
398.4625,-299.5119,9.4520,9.4440
402.4379,-302.5466,9.4710,9.4650
406.4134,-305.5812,9.4900,9.4860
410.3889,-308.6157,9.5090,9.5070
414.3645,-311.6502,9.5280,9.5270
418.3401,-314.6847,9.5470,9.5480
422.3157,-317.7190,9.5650,9.5690
426.2914,-320.7534,9.5840,9.5900
430.2670,-323.7877,9.6030,9.6110
434.2426,-326.8221,9.6220,9.6310
438.2177,-329.8575,9.6410,9.6520
442.1919,-332.8943,9.6600,9.6730
446.1649,-335.9333,9.6790,9.6940
450.1361,-338.9752,9.6970,9.7150
454.1054,-342.0207,9.8340,9.8170
458.0721,-345.0703,10.1740,10.0630
462.0360,-348.1249,10.5140,10.3080
465.9993,-351.1807,10.8550,10.5530
470.0168,-354.1493,11.1950,10.7990
474.1913,-356.8639,11.5490,11.1180
478.5710,-359.2485,11.9300,11.5770
483.0517,-361.4781,12.3100,12.0370
487.5362,-363.7125,12.6900,12.4960
492.0155,-365.9578,13.0700,12.9560
496.4949,-368.1949,13.3540,13.2070
500.9797,-370.4044,13.5790,13.3320
505.4850,-372.5462,13.8050,13.4570
510.0516,-374.5246,14.0310,13.5810
514.7246,-376.2348,13.8640,13.4990
519.5490,-377.5718,13.6010,13.3650
524.5466,-378.3988,13.2300,12.9620
529.5306,-378.2919,12.3930,12.0480
534.1989,-376.6832,11.4180,11.0190
537.9886,-373.4496,11.3400,10.4860
539.9616,-369.1364,8.9440,8.5330
539.9205,-364.2650,8.7290,8.2410
538.7728,-359.2435,8.4090,8.1300
537.3643,-354.3900,7.8700,8.0790
535.8902,-349.6635,7.7330,7.8010
534.3642,-344.9452,7.5960,7.5240
532.7965,-340.2142,7.4590,7.2460
531.1966,-335.4768,7.3800,7.2050
529.5737,-330.7391,7.3020,7.1710
527.9360,-326.0063,7.2250,7.1360
526.2862,-321.2791,7.1480,7.1020
524.6258,-316.5569,7.0910,7.0570
522.9559,-311.8391,7.0390,7.0110
521.2781,-307.1252,6.9870,6.9640
519.5936,-302.4146,6.9350,6.9180
517.9038,-297.7066,6.8830,6.8710
